claim_id,paper_location,statement,paper_value,recomputed_value,experiment_ids,aggregation_and_script,verdict,action_or_note
C18,Results 2.2; Fig. 2 h,"HOPV15 mean regret at B = 30: MFGP 2.3, DKL 2.6, SV-MFGP 3.3; FET 1.1, Seq 1.2 (1.1-1.3)",as stated,"2.312 / 2.613 / 3.320; FET 1.070, Seq 1.150, E2E 1.200, SGJ 1.270","E05, E06",fig2_trajectories.py; verify section 3,verified,
C19,Results 2.2; Fig. 2 i,Matbench-gap at B = 30: SPS/PtJ/Adpt 0.05-0.07 vs MFGP/SV-MFGP 0.12; TL ahead after ~15 units,as stated,"SPS 0.051, PtJ 0.058, Adpt 0.071; MFGP 0.124, SV-MFGP 0.122; at 15: best TL 0.210 vs best GP 0.269",E07,verify section 3,verified,
C20,Results 2.2; Table 1,HOPV15 R^2 = 0.02,0.02,0.0153,E16,corrcoef^2 over the pool (verify section 7),verified,
C21,Results 2.2; Fig. 1 o,"panel o: 8 of 9 TL above every GP; SGJ 0.76, E2E 0.73, DKL 0.60, MFGP 0.43; TL spread 0.55-0.76",as stated,"exact: SGJ 0.755, E2E 0.736, DKL 0.602, MFGP 0.433; 8/9; spread 0.551-0.755 (pipeline value E2E 0.735 -> 0.73 before the exact export)",E01-E08,fig1_attainment.py SUMMARY=score,mismatch -> fixed,E2E redlined 0.73 -> 0.74; other numbers unchanged
C22,Results 2.2,Progressive weakest TL on both Branin; SPS and Prog weakest on Elastic-CHGNet and below MFGP on HOPV15; MMD and SGJ lead the chem summary,as stated,"Prog 0.287/0.011; CHGNet SPS 0.334, Prog 0.361; HOPV15 SPS 0.245, Prog 0.179 < MFGP 0.317; panel p SGJ 0.867, MMD 0.856",E01-E08,verify section 2,verified,
C23,Results 2.2,Matbench-gap: lowest TL attainment 0.36 exceeds highest GP 0.32,0.36 > 0.32,min TL 0.363 (FET) > max GP 0.322 (SV-MFGP),E07,verify section 2,verified,
C24,Results 2.3; Fig. 3 a,"TL vs baseline MFGP: positive in 81/126 cells, 45 ties, mean advantage 0.064 range units",81 / 45 / 0.064,81 / 45 / 0 negative; mean 0.0636 (HF range of the polarizability substrate = 1.0),"E09, E10",verify section 5,verified,
C25,"Results 2.3; Fig. 3 b,c","TL vs variants 60 cells, 65 ties, one reversal, mean 0.017; variants vs baseline 81 cells",60 / 65 / 1 / 0.017; 81,60 / 65 / 1; 0.0171; variants vs MFGP 81 / 45 / 0,"E09, E10",verify section 5,verified,
C26,Results 2.3; Fig. 3 lower row,rho(agreement) -0.79 vs rho(R^2) -0.15; profile 0.20 at zero agreement -> 0 at full; R^2 profile 0.03-0.09; vs variants -0.62 / +0.04,as stated,-0.79 / -0.15; 0.197 -> 0.004; 0.035-0.087; -0.62 / +0.04,"E09, E10",verify section 5,verified,
C27,Methods (grid),"126 conditions, ten seeds, B = 50, rho = 0.1, 25 HF + 249 LF per run incl. 2 HF + 5 LF initial design (5 % of budget)",as stated,"TL grid summaries: n_hf 25, n_lf 249 for every run; 10 seeds per model per cell; init 2 HF + 5 LF = 2.5 units",E09 (TL rows); E10 (GP rows not re-checked for n_hf/n_lf),verify section 5,verified,GP grid rows: only data identity with the public repo verified
C28,Results 2.4,MFGP greedy within 0.02 of EI on eight of nine benchmarks; HOPV15 greedy 0.23 vs EI 0.32,within 0.02 on 8/9,"paired deltas: 0.001, 0.017, 0.015, 0.016, 0.000, 0.000, 0.002, 0.083 (HOPV15), 0.022 (Matbench-gap); HOPV15 0.234 vs 0.317","E02, E04, E13",supp_attain.py S1; verify section 9,mismatch -> fixed,"redlined ""within 0.02"" -> ""within 0.03"" (Matbench-gap delta 0.022 > 0.02)"
C29,Results 2.4,"E2E with EI within 0.01 of greedy on seven benchmarks, 0.04 lower on Branin-Fav, 0.07 higher on HOPV15",as stated,7 within 0.01; Branin-Fav -0.037; HOPV15 +0.067,"E01, E03, E12 (ei), E14",verify section 9,verified,
C30,Results 2.4; SI Fig. 1 j,sign of the EI effect on HOPV15 depends on the architecture,varies,FET -0.225 ... E2E +0.134 (seeds 42-61),"E01, E12",verify section 9,verified,
C31,Results 2.5; SI Note 5,"no acquisition raises mean attainment by more than 0.05 on any benchmark (PI on Branin-Fav, Thompson on Branin-Unfav)",<= 0.05,"PI Branin-Fav +0.052, Thompson Branin-Unfav +0.051","E12, E01",supp_attain.py S2; verify section 9,mismatch -> fixed,"SI Note 5 redlined to ""about 0.05 (+0.052 and +0.051)""; main text says ""a small margin"""
C32,Results 2.5; SI Note 5,Thompson lowers attainment by 0.11 on HOPV15 and 0.13 on Matbench-gap; LCB/MES lower Branin by 0.06-0.10; chemistry pools within 0.01,as stated,"-0.114 / -0.134; UCB -0.090/-0.063, MES -0.099/-0.076; chem |delta| <= 0.008","E12, E01",verify section 9,verified,
C33,Results 2.5; Fig. 4,"calibration r: -0.66 Matbench-gap, -0.82 ExptGap-PBE, -0.52 COFs; |r| >= 0.5 nowhere else",as stated,-0.657 / -0.820 / -0.525; all other |r| <= 0.47,E01-E08,make_a1_calibration_13_attain.py ECE_X=mean; verify section 6,verified,attainment axis re-aggregated exactly on 2026-09-14 (Branin points move <= 0.011; r values quoted unchanged)
C34,Results 2.5,on Matbench-gap and ExptGap-PBE the GP ECE is 0.15-0.36 vs TL 0.08-0.12,as stated,"Matbench GP 0.151-0.356, TL 0.090-0.118; ExptGap GP 0.167-0.267, TL 0.081-0.116",E01-E08,verify section 6,verified,
C35,Results 2.5,"MFGP lowest ECE on 7/13 yet lower half by attainment on 7/9 chem pools; DKL worst-calibrated on 8/13, among the best optimizers on Branin",as stated,"7/13; 7/9; 8/13; DKL attainment rank 1 (Fav), 2 (Unfav)",E01-E08,verify section 6,verified,
C36,Results 2.5; Fig. 4 caption,COFs: every surrogate attains 0.90-0.93,0.90-0.93,0.900-0.934,E01-E04,verify section 2,verified,
C37,Results 2.6; Fig. 5 b,"COFs rank correlation 0.998, screening regret 4.52; Polarizability screening regret <= 0.09; top-1 % overlap ~1 for Park-Fav and Polarizability",as stated,Spearman 0.9984; 4.517; 0.0892; top-1 % overlap 1.00 / 1.00,E15,make_b2_topk_13.py; verify section 7,verified,
C38,Results 2.6,"HOPV15 screening regret 3.90, Matbench-gap 0.91",3.90 / 0.91,3.900 / 0.910,E15,verify section 7,verified,
C39,Results 2.6; Fig. 5 caption,"ExptGap-PBE screen misses by 1.15 eV (HF optimum at LF rank 1,033 of 3,508)",1.15 eV; rank 1033,1.150 eV; LF rank 1033; n 3508,E15,verify section 7,verified,
C40,Results 2.6; Fig. 5 caption,elastic ladder screening regret 384 / 369 / 3 GPa = 74 % / 97 % / 0.6 % of range; MatterSim optimum at LF rank 2,as stated,384.0 / 369.0 / 3.0 GPa; 73.6 % / 96.6 % / 0.57 %; LF rank 2,E15,verify section 7,verified,
C41,Results 2.6,COFs and polarizability both R^2 >= 0.96 but screening regrets differ ~50x,R^2 >= 0.96; 50x,R^2 0.958 / 0.988; 4.517 / 0.0892 = 50.6x,"E15, E16",verify section 7,verified (rounding),COFs R^2 0.958 rounds to 0.96
C42,Results 2.6,"Regime A (screen <= 0.3): Park-Fav, polarizability; Regime B: COFs, Branin, HOPV15, Matbench-gap, four large pools",as stated,"A = Park-Fav, Park-Unfav, FreeSolv (0.27), Polarizability; B = the other nine (MatterSim 3 GPa > 0.3 raw units)",E15,verify section 7,verified,the 0.3 boundary is in raw HF units of each pool (stated in the caption)
C43,Results 2.6; Fig. 5 c,"k_N = 0.94 (R^2 0.99) TL, 2.29 (R^2 0.93) GP; break-even N ~ 40; 3.5x at N = 100, 9x at N = 200",as stated,0.942 (0.995) / 2.294 (0.932); 39.8; 3.47x; 8.86x,E11,make_scaling_law_blr.py GP_VARIANTS=DKL; verify section 8,verified,
C44,Results 2.6; SI Fig. 3 caption,"fit-FLOP exponents: TL 0.9-1.0, MFGP 3.0, SV-MFGP 2.3, DKL 1.5",as stated,TL 0.89-0.99; MFGP 3.04; Sparse 2.32; DKL 1.52,E11,verify section 8,verified,
C45,Results 2.6; SI Note 6,"loop FLOPs: SV-MFGP up to 43x, DKL 28x, MFGP 11x the fastest TL; MFGP cheapest of all on HOPV15 and Park-Unfav",as stated,"43.1x (FreeSolv), 27.8x (Branin-Fav), 11.0x (FreeSolv); MFGP cheapest overall on Park-Unfav (0.7x) and HOPV15 (0.9x)",E11,verify section 8,verified,
C46,Results 2.6,"for SV-MFGP, 5.1 versus 0.12 TFLOPs on FreeSolv",5.1 / 0.12,5.045 / 0.117,E11,verify section 8 (computing_flops_values_blr.csv),mismatch -> fixed,redlined 5.1 -> 5.0
C47,SI Note 6,FLOPs accumulated over the Fig. 1 budgets except FreeSolv profiled at 50 and Matbench-gap at 20,as stated,"SCHED FreeSolv (27, 283) = 50-unit loop; Matbench-Gap (22, 209) = 20-unit loop; others match Table 1",E11,plot_computing_flops_blr.py SCHED,verified,the compute comparison therefore uses a different budget from the performance comparison on these two pools (stated in the SI)
C48,Table 1,pool sizes 2500/2500/256/256/608/640/1134/240/3347/3508/10819/10460/10946; rho; R^2; B,as stated,"all sizes reproduced; R^2 0.97/0.56/0.97/0.72 (1,000 uniform samples, seed 42) and 0.96/0.87/0.99/0.02/0.46/0.41/0.29/0.41/0.80 (pool); B = run budgets read at 50 / 30",E16,verify section 10,verified,d column = raw descriptor count by author rule; the model input is PCA-10 (Methods)
C49,SI Table 4,alpha 0.8 / 0.1 / 0.6 / 0.0 and R^2 0.97 / 0.56 / 0.97 / 0.72,as stated,CSV pools regenerate exactly from src/synthetic_functions.py with these alphas; R^2 0.9665 / 0.5615 / 0.9651 / 0.7241,E16,verify section 10,verified,
C50,SI Note 4 (Park equation),f = x1/2 sqrt(1 + (x2 + x3^2) x4 / x1^2) + (x1 + 3 x4) exp(1 + sin x3),sqrt(1 + A),"the pools and the code use x1/2 sqrt(A) (the ""-1 inside the root"" form): max |csv - code| 3.6e-15, |csv - SI equation| 0.50, |csv - classical Park| 0.34",E16,src/synthetic_functions.py park_hf; verify section 10 + adhoc check,mismatch -> fixed,SI equation replaced by the as-run form with an explanatory sentence (redline)
C51,SI Note 4 (Park LF),LF: x4 coefficient 3 -> 3 - 1.5(1 - alpha) and scales the exponential argument by alpha,as stated,"code: exp(1 + alpha sin x3), i.e. only the sine term is scaled; LF CSV reproduces the code to 9e-16",E16,verify section 10,clarified,wording redlined
C52,SI Note 4 / Table 4 (f*),"global minima f* = 0.397887 (Branin), 0 (Park)",analytical minima,"regret in every run is relative to the best lattice candidate: Branin 0.404493, Park 1.087e-7 (ChemistryBenchmark.f_star = y_hf.min())","E01-E04, E16",benchmark.py L1231; verify section 0,clarified,sentence added to SI Note 4
C53,Methods (loop and acquisition),GP baselines: both fidelity levels selected with the cross-fidelity posterior at the HF level (EI unified acquisition),EI at both steps (implied),"run_gp.py: LF query = EI on the HF-level posterior with the HF incumbent; HF query = argmin posterior mean (greedy), the same HF rule as the TL surrogates","E02, E04, E13",run_gp.py L65-73,clarified,"Methods and SI Note 1 redlined to state both rules; Results 2.4 asymmetry qualified as ""for the LF query"""
C54,Methods,TL greedy policy: LF and HF candidates by minimum predicted HF mean among candidates not yet evaluated at that fidelity,as stated,"run_tl.py L291-292 (HF), L297-298 + L309-310 (LF)","E01, E03",code reading,verified,
C55,Methods,a candidate evaluated at a fidelity is excluded from further queries at that fidelity only (per-fidelity masking),as stated,run_tl.py masks hf_idx at the HF step and lf_idx at the LF step; run_gp.py likewise,E01-E14,code reading,verified,
C56,Methods,"initial design: two HF points and 5-25 LF points (3-4.5 units), furthest-point sampling on every pool",as stated,n_init_hf = 2 everywhere; n_init_lf 25/5/25/5/23/25/8/15/20 and 20 for the large pools; cost 3.0-4.5; fps() on the pool features,E01-E08,"run_tl.py L172-180, L258; verify section 11",verified,
C57,Methods,round-robin floor(1/rho) LF queries per HF query; surrogate retrained de novo at every iteration,as stated,"lf_per_hf = max(1, int(1/rho)); WARM = 0 (cold refit)",E01-E14,"run_tl.py L262, L276-280",verified,
C58,Methods; SI Note 2,"HF prediction = g_L + w.[g_L, phi_L, 1] with LOO-selected precision ratio over {10,30,100,300,1000}, beta = 1/LOO-MSE clipped to [1,100], ratios 10 and 1 for the g_L coefficient and the bias; residual network unused",as stated,"run_tl.py blr_fit / Head: alpha = 100 (phi), 10 (g_L), 1 (bias); lambda grid; beta clip; alpha *= beta so the prior-to-noise ratios are lambda / 10 / 1; predict uses g_L + BLR mean","E01, E03, E05-E08, E12",run_tl.py L53-125,verified,
C59,Methods; SI Note 3,Curriculum = Knowledge Distillation = Pseudo-Labelling give identical predictions (feature-extraction transfer),identical,720/720 trajectory pairs identical (max |diff| 0) across the 13 pools,"E01, E03, E05-E07",verify section 1,verified,E08 ran Curriculum only (KD/PL omitted)
C60,SI Note 2,LF head alpha = beta = 1 for the calibration analysis,alpha = beta = 1,"benchmark.py _fit_lf_blr: BayesianLinearRegression(alpha=1.0, beta=1.0); run_tl.py uses model.predict_lf for ECE",E01-E08,code reading,verified,
C61,SI Tables 2-3,per-model epochs / learning rates / weight decay,as tabulated,"spot-checked against benchmark.py class constructors and optimisers (Sequential 200/100 lr 1e-3 wd 1e-4; Progressive 2x50 + 50 + 50, 1e-3 -> 1e-4; Curriculum 200/200; TwoStageJoint 100 + 100, 1e-3/1e-4; DNGOJoint 300 wd 1e-4; DNGOGradient 300 wd 1e-4; KD 200/100 1e-3/1e-4; MMD 200/100; SPS 200; PL 200/100; Adapter 200/100)",E01,grep of benchmark.py (full audit on 2026-09-13),verified,
C62,Methods (implementation),"reference environment Python 3.9, PyTorch 2.4.1, BoTorch 0.10.0, GPyTorch 1.11, SciPy 1.13.1",Python 3.9,"the figure runs were produced mostly on the VM under Python 3.12.3 / NumPy 2.0.2 with the same torch/botorch/gpytorch/scipy versions; 1,846 TL runs present in both environments are bit-identical",E01-E14,verify section 11 (crossenv_check.csv),clarified,Methods sentence extended (redline)
C63,Fig. 1 caption,40 seeds; 36 and 39 for SV-MFGP on Branin-Fav / Branin-Unfav; budgets 50 / 30,as stated,n per cell as stated; budgets 50 (synthetic) / 30 (chem),E01-E08,verify section 11,verified,
C64,Fig. 2 caption,"windows 0-50 synthetic, 0-30 chemistry/materials; 40 seeds",as stated,fig2_trajectories.py XMAX; n_end 40 (36/39 SV-MFGP Branin),E01-E08,verify section 3,verified,
C65,SI Fig. 1 caption,40 seeds (42-81); FreeSolv MFGP with EI n = 39; Matbench-gap at budget 20,as stated,MFGP EI FreeSolv n = 39 with the roots used by supp_attain.py (results_gp + results_gp_vm + results_gp_conf; the fresh seed 60 of results_gp_vm2 is not read there); Matbench B = 20,"E02, E04, E13, E01, E03, E12, E14",verify section 9,verified,Fig. 1 itself has FreeSolv MFGP n = 40 (extension runs)
C66,SI Fig. 2 caption,9 TL x 9 pools x 20 seeds (42-61) per acquisition,as stated,"n = 20 in every (acquisition, pool, surrogate) cell","E12, E01",verify section 9,verified,
C67,Data availability; Code availability,"the thirteen pools, the grid LF sources and the result files behind every figure are available at github.com/MGuo-Lab/MFBO-TL",available,"public main 5c80420 (2026-08-21) holds the NINE original pools, the previous run set (paper_v1 / fix6, joint masking, constant-std EI) and the previous figure scripts; none of E01-E14, the four new pools or their build scripts is public; the local clone MFBO-TL-public carries an uncommitted 2026-09-02 patch",all,git ls-remote + md5 comparison (reproducibility/public_release_manifest.csv),mismatch -> author action,release of the snapshot required before submission; no push was made
C68,Fig. 4 caption,ECE averaged over the refits of the optimization loop,loop mean,"the loop of the run each cell comes from: original-budget runs for the nine pools (Matbench-Gap B = 20 run, FreeSolv B = 50 run) and the cap-60 (TL) / cap-31 (GP) runs for the four large pools; 6-8 seeds per large pool have NaN ECE (mean over the rest)","E01-E04, E08",make_a1_calibration_13_attain.py SRC; verify section 6,ambiguous version,"author decision: state the ECE loop horizon in the caption or recompute ECE on the 30-unit prefix (needs per-refit logs, not stored)"
C69,"Fig. 1 / Fig. 2 (HOPV15, FreeSolv, Polarizability, Matbench-gap, SV-MFGP rows)",SV-MFGP values on these pools,as plotted,"the plotted cells are the extension re-runs (E05-E07); the original-budget runs (E02/E04) differ in 19/120 seeds because the sparse GP fit is not bit-reproducible (mean final regret at B: FreeSolv 0.0135 vs 0.0202, HOPV15 3.32 vs 3.32, Matbench 0.236 vs 0.241)","E02, E04, E05-E07",verify section 4,ambiguous version,"resolved by the pipeline rule ""longest run per seed"" now stated in Methods; no verdict depends on it"
C70,Discussion,GP hyperparameters re-fit by marginal likelihood at every iteration; TL hyperparameters fixed,as stated,run_gp.py refits at every step (fit_gpytorch_mll in benchmark.MFGP.fit); TL epochs/lr fixed in benchmark.py,E01-E04,code reading,verified,
C71,Fig. 1a (schematic),"GP family x3, TL x9, thirteen benchmarks, ""up to 43x fewer FLOPs""",as drawn,TikZ source paper_figures/fig1_overview.tex; 43x matches E11,E11,fig1_overview.tex,verified,"header wording ""Transfer-learning wins"" left to the authors (not a number)"
C72,Results 2.2 (HOPV15 trajectory shape),GP family stops improving after roughly 20 HF-equivalent units on HOPV15,descriptive,MFGP 2.50 at 20 -> 2.31 at 30; DKL 2.81 -> 2.61; SV-MFGP 3.71 -> 3.32 (small late gains),"E05, E06",verify section 3,verified (rounding),qualitative statement; the GP curves still fall slightly after 20
